prev_close,open,bid,ask,client_timestamp,pair
0.9319,0.9318,0.9319,0.9324,1685157795041,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685158946209,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685160162970,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685161502933,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685162514519,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685163755525,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685165039062,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685166121794,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685167372151,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685168741860,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685169727107,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685170929061,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685172135459,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685173316537,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685174571322,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685175891652,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685176938382,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685178156314,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685179327686,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685180525925,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685181750711,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685183089002,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685184119046,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685185334806,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685186518395,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685187743497,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685188977572,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685190568819,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685191589690,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685192552493,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685193812184,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685194922673,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685196135315,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685197414022,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685198511196,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685199761904,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685200962990,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685202135900,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685203375065,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685204789974,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685205720444,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685206968635,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685208249237,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685209331840,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685210553434,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685211896766,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685212913369,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685214129129,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685215346520,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685216512734,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685217739481,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685218992008,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685220124987,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685221345053,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685222543613,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685223736157,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685224948343,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685226241599,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685227353580,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685228565833,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685229767108,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685230927179,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685232419393,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685233962344,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685235665703,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685237800847,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685239709168,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685241387692,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685242264254,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685242973972,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685244222137,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685245341986,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685246567533,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685247910765,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685248930277,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685250148950,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685251430738,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685252522009,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685253770159,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685255130534,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685256145116,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685257339282,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685258519794,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685259718812,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685260964504,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685262271253,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685263327887,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685264550200,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685265750982,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685266923716,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685268138804,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685269482581,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685270546718,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685271743540,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685272925380,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685274128080,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685275385241,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685276963619,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685277979846,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685278965577,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685280186059,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685281331121,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685282559688,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685283787396,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685284931521,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685286159395,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685287398870,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685288527032,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685289751870,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685291146067,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685292115358,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685293342772,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685294600656,"USDEUR"
